"review_id","quality_id"
1,8
1,10
1,6
2,8
2,7
2,13
2,10
2,1
2,14
4,3
4,8
4,10
4,14
5,12
5,11
5,5
5,9
6,4
6,15
6,2
6,16
7,20
7,22
7,17
8,19
8,23
8,21
8,18
8,24
9,36
9,38
9,33
9,26
9,8
10,17
10,8
11,27
11,37
11,28
12,36
12,38
12,26
12,17
12,8
13,32
13,29
13,34
13,8
13,28
14,38
14,33
14,17
14,8
14,25
15,17
15,35
15,30
15,34
16,38
16,26
16,8
17,26
17,17
17,8
19,36
19,38
19,33
19,26
19,8
20,31
20,17
20,8
22,48
22,39
22,49
22,37
24,46
24,50
24,45
24,49
25,27
25,39
25,49
26,44
26,51
26,42
26,47
26,41
26,43
27,48
27,39
27,49
27,37
27,28
29,48
29,39
29,49
29,37
29,28
30,27
30,39
30,40
30,49
30,37
31,72
31,55
31,52
31,56
32,60
32,8
32,70
32,53
34,60
34,8
34,70
34,52
34,61
34,53
36,63
36,64
36,62
36,59
36,69
36,52
36,67
36,53
37,60
37,57
37,55
37,65
37,52
37,56
37,68
38,57
38,65
38,52
38,71
38,53
41,66
41,57
41,8
41,52
41,53
42,8
42,45
42,58
42,69
42,37
44,60
44,52
44,53
45,54
45,66
45,8
45,53
46,76
46,74
46,84
46,73
46,80
48,82
48,83
48,84
49,73
49,80
50,25
50,73
50,80
51,78
51,87
51,81
51,86
52,73
52,77
53,73
53,80
55,81
57,79
57,80
57,75
58,79
58,84
58,86
59,73
59,80
59,81
59,77
61,80
62,76
62,75
63,84
63,73
63,80
63,77
64,73
64,80
67,76
67,73
67,80
67,77
68,73
68,80
69,25
69,73
69,80
70,76
70,79
70,74
70,84
70,73
70,80
71,73
71,80
71,85
72,8
73,89
73,8
76,107
76,8
76,88
77,100
77,8
78,98
78,8
78,88
79,109
79,91
79,111
81,111
82,107
82,105
82,89
82,8
82,88
84,102
84,89
84,8
84,108
85,8
86,100
86,90
86,8
87,103
87,91
87,8
87,88
89,89
89,8
90,102
90,89
90,8
90,88
92,95
92,91
92,112
93,103
93,105
93,8
93,88
95,107
95,105
95,89
95,8
96,110
96,8
97,91
97,93
97,8
98,107
98,95
98,103
98,89
98,104
98,113
99,103
99,105
99,8
99,88
100,96
100,112
101,91
101,89
101,8
101,88
102,91
102,89
102,8
103,109
104,107
104,101
104,105
104,89
104,8
104,88
105,92
105,104
107,107
107,103
107,110
107,8
108,91
108,89
110,109
115,8
116,8
117,107
117,89
117,8
118,91
118,97
118,90
118,105
118,89
118,8
118,108
119,91
119,89
119,8
120,8
121,107
121,103
121,92
121,89
121,8
122,109
123,107
123,103
123,106
123,89
123,8
123,88
124,111
124,112
124,94
126,100
126,105
126,89
126,8
126,108
127,109
127,91
127,112
129,91
129,89
129,8
131,8
132,107
132,103
132,110
132,89
132,8
132,99
133,107
133,103
133,110
133,89
133,8
134,107
134,102
134,89
134,8
135,107
135,89
135,8
136,107
136,90
136,105
136,89
136,8
137,107
137,103
137,92
137,8
137,108
137,88
138,91
138,89
138,8
138,108
139,107
139,103
139,105
139,89
139,8
141,124
141,123
142,115
143,115
143,122
144,128
145,127
145,128
145,118
145,114
145,124
145,123
145,119
146,115
146,121
146,27
146,122
146,130
146,116
147,128
147,123
148,115
148,132
148,122
149,114
150,128
150,123
151,115
151,122
151,128
151,75
152,124
153,121
153,122
154,128
154,124
155,125
155,128
155,114
